invoice_id,entity,vendor_id,issue_date,paid_date,currency,amount,category
AP-DE01-202401-INV1,DE01,V020,2024-01-09,2024-02-13,EUR,128782.49,inventory
AP-DE01-202401-INV2,DE01,V001,2024-01-04,2024-01-29,EUR,64295.17,inventory
AP-DE01-202401-INV3,DE01,V021,2024-01-20,2024-02-22,EUR,28059.0,inventory
AP-DE01-202401-INV4,DE01,V002,2024-01-12,2024-02-10,EUR,336189.58,inventory
AP-DE01-202401-INV5,DE01,V011,2024-01-05,2024-03-03,EUR,139738.02,inventory
AP-DE01-202401-6100,DE01,V039,2024-01-01,2024-02-11,EUR,49674.76,opex
AP-DE01-202401-6200,DE01,V052,2024-01-12,2024-02-17,EUR,58113.0,opex
AP-DE01-202401-6300,DE01,V057,2024-01-18,2024-02-26,EUR,19706.48,opex
AP-DE01-202401-6400,DE01,V052,2024-01-04,2024-02-10,EUR,33738.86,opex
AP-DE01-202402-INV1,DE01,V004,2024-02-09,2024-03-06,EUR,53406.23,inventory
AP-DE01-202402-INV2,DE01,V025,2024-02-07,2024-03-18,EUR,156856.37,inventory
AP-DE01-202402-INV3,DE01,V009,2024-02-08,2024-03-12,EUR,171343.57,inventory
AP-DE01-202402-INV4,DE01,V008,2024-02-04,2024-03-04,EUR,284072.48,inventory
AP-DE01-202402-6100,DE01,V044,2024-02-05,2024-03-14,EUR,55933.23,opex
AP-DE01-202402-6200,DE01,V027,2024-02-15,2024-03-22,EUR,65023.16,opex
AP-DE01-202402-6300,DE01,V026,2024-02-17,2024-03-17,EUR,20108.17,opex
AP-DE01-202402-6400,DE01,V049,2024-02-14,2024-03-25,EUR,32462.28,opex
AP-DE01-202403-INV1,DE01,V013,2024-03-22,2024-04-27,EUR,142677.49,inventory
AP-DE01-202403-INV2,DE01,V021,2024-03-08,2024-04-12,EUR,229814.08,inventory
AP-DE01-202403-INV3,DE01,V023,2024-03-14,2024-04-17,EUR,227504.06,inventory
AP-DE01-202403-INV4,DE01,V008,2024-03-08,2024-04-08,EUR,184875.97,inventory
AP-DE01-202403-6100,DE01,V043,2024-03-10,2024-04-17,EUR,65893.43,opex
AP-DE01-202403-6200,DE01,V057,2024-03-07,2024-04-21,EUR,65016.71,opex
AP-DE01-202403-6300,DE01,V043,2024-03-05,2024-04-07,EUR,24524.14,opex
AP-DE01-202403-6400,DE01,V044,2024-03-03,2024-04-03,EUR,42421.36,opex
AP-DE01-202404-INV1,DE01,V008,2024-04-22,2024-06-01,EUR,239771.68,inventory
AP-DE01-202404-INV2,DE01,V002,2024-04-18,2024-05-13,EUR,418669.39,inventory
AP-DE01-202404-INV3,DE01,V009,2024-04-02,2024-04-26,EUR,134997.41,inventory
AP-DE01-202404-6100,DE01,V027,2024-04-16,2024-05-20,EUR,57380.06,opex
AP-DE01-202404-6200,DE01,V032,2024-04-06,2024-05-07,EUR,66875.25,opex
AP-DE01-202404-6300,DE01,V059,2024-04-06,2024-05-06,EUR,20755.71,opex
AP-DE01-202404-6400,DE01,V050,2024-04-01,2024-05-01,EUR,37074.23,opex
AP-DE01-202405-INV1,DE01,V001,2024-05-17,2024-06-23,EUR,548038.8,inventory
AP-DE01-202405-INV2,DE01,V017,2024-05-01,2024-05-25,EUR,65288.61,inventory
AP-DE01-202405-INV3,DE01,V012,2024-05-14,2024-06-16,EUR,71203.52,inventory
AP-DE01-202405-6100,DE01,V052,2024-05-11,2024-06-10,EUR,63096.44,opex
AP-DE01-202405-6200,DE01,V036,2024-05-11,2024-06-17,EUR,65483.51,opex
AP-DE01-202405-6300,DE01,V039,2024-05-20,2024-06-21,EUR,29460.62,opex
AP-DE01-202405-6400,DE01,V046,2024-05-11,2024-06-09,EUR,41443.9,opex
AP-DE01-202406-INV1,DE01,V018,2024-06-05,2024-07-03,EUR,103939.22,inventory
AP-DE01-202406-INV2,DE01,V013,2024-06-05,2024-07-14,EUR,46482.72,inventory
AP-DE01-202406-INV3,DE01,V012,2024-06-13,2024-07-13,EUR,255877.82,inventory
AP-DE01-202406-INV4,DE01,V006,2024-06-07,2024-07-26,EUR,386958.7,inventory
AP-DE01-202406-6100,DE01,V047,2024-06-20,2024-08-02,EUR,81996.67,opex
AP-DE01-202406-6200,DE01,V038,2024-06-10,2024-07-09,EUR,57869.91,opex
AP-DE01-202406-6300,DE01,V049,2024-06-17,2024-07-19,EUR,31466.76,opex
AP-DE01-202406-6400,DE01,V047,2024-06-09,2024-07-09,EUR,32795.17,opex
AP-DE01-202407-INV1,DE01,V003,2024-07-15,2024-08-05,EUR,490960.38,inventory
AP-DE01-202407-INV2,DE01,V018,2024-07-18,2024-08-28,EUR,96230.07,inventory
AP-DE01-202407-INV3,DE01,V017,2024-07-20,2024-08-20,EUR,88735.4,inventory
AP-DE01-202407-INV4,DE01,V018,2024-07-12,2024-08-03,EUR,38808.79,inventory
AP-DE01-202407-6100,DE01,V039,2024-07-14,2024-08-18,EUR,85827.42,opex
AP-DE01-202407-6200,DE01,V033,2024-07-17,2024-08-18,EUR,47083.83,opex
AP-DE01-202407-6300,DE01,V039,2024-07-08,2024-08-14,EUR,24847.62,opex
AP-DE01-202407-6400,DE01,V040,2024-07-11,2024-08-19,EUR,33868.39,opex
AP-DE01-202408-INV1,DE01,V020,2024-08-21,2024-09-25,EUR,85248.94,inventory
AP-DE01-202408-INV2,DE01,V014,2024-08-14,2024-09-20,EUR,212992.45,inventory
AP-DE01-202408-INV3,DE01,V005,2024-08-12,2024-09-17,EUR,157295.99,inventory
AP-DE01-202408-INV4,DE01,V006,2024-08-20,2024-09-27,EUR,269386.85,inventory
AP-DE01-202408-6100,DE01,V040,2024-08-08,2024-09-19,EUR,63319.81,opex
AP-DE01-202408-6200,DE01,V055,2024-08-05,2024-09-05,EUR,63876.41,opex
AP-DE01-202408-6300,DE01,V031,2024-08-03,2024-08-28,EUR,27535.13,opex
AP-DE01-202408-6400,DE01,V053,2024-08-20,2024-09-24,EUR,39995.71,opex
AP-DE01-202409-INV1,DE01,V025,2024-09-01,2024-09-28,EUR,626801.37,inventory
AP-DE01-202409-INV2,DE01,V005,2024-09-02,2024-10-01,EUR,54855.14,inventory
AP-DE01-202409-INV3,DE01,V001,2024-09-23,2024-11-09,EUR,140245.83,inventory
AP-DE01-202409-INV4,DE01,V012,2024-09-01,2024-10-01,EUR,54447.05,inventory
AP-DE01-202409-6100,DE01,V031,2024-09-05,2024-10-01,EUR,80459.33,opex
AP-DE01-202409-6200,DE01,V056,2024-09-18,2024-10-25,EUR,75799.05,opex
AP-DE01-202409-6300,DE01,V057,2024-09-16,2024-10-25,EUR,27004.67,opex
AP-DE01-202409-6400,DE01,V039,2024-09-13,2024-10-12,EUR,40916.27,opex
AP-DE01-202410-INV1,DE01,V013,2024-10-15,2024-11-08,EUR,28641.05,inventory
AP-DE01-202410-INV2,DE01,V025,2024-10-19,2024-11-12,EUR,427346.96,inventory
AP-DE01-202410-INV3,DE01,V011,2024-10-15,2024-12-04,EUR,34729.73,inventory
AP-DE01-202410-INV4,DE01,V009,2024-10-06,2024-11-03,EUR,362469.07,inventory
AP-DE01-202410-6100,DE01,V037,2024-10-03,2024-11-12,EUR,75256.1,opex
AP-DE01-202410-6200,DE01,V045,2024-10-11,2024-11-17,EUR,70366.58,opex
AP-DE01-202410-6300,DE01,V044,2024-10-01,2024-11-04,EUR,34708.35,opex
AP-DE01-202410-6400,DE01,V054,2024-10-17,2024-11-11,EUR,41115.24,opex
AP-DE01-202411-INV1,DE01,V002,2024-11-11,2024-12-25,EUR,185036.29,inventory
AP-DE01-202411-INV2,DE01,V011,2024-11-17,2024-12-26,EUR,202944.58,inventory
AP-DE01-202411-INV3,DE01,V022,2024-11-15,2024-12-23,EUR,590555.82,inventory
AP-DE01-202411-6100,DE01,V056,2024-11-16,2024-12-05,EUR,88587.65,opex
AP-DE01-202411-6200,DE01,V049,2024-11-11,2024-12-04,EUR,73322.65,opex
AP-DE01-202411-6300,DE01,V054,2024-11-18,2024-12-22,EUR,27295.5,opex
AP-DE01-202411-6400,DE01,V036,2024-11-19,2025-01-02,EUR,47393.24,opex
AP-DE01-202412-INV1,DE01,V012,2024-12-24,2025-01-29,EUR,26940.91,inventory
AP-DE01-202412-INV2,DE01,V002,2024-12-07,2025-01-06,EUR,62182.86,inventory
AP-DE01-202412-INV3,DE01,V007,2024-12-16,2025-01-21,EUR,29296.83,inventory
AP-DE01-202412-INV4,DE01,V006,2024-12-06,2025-01-14,EUR,808890.56,inventory
AP-DE01-202412-INV5,DE01,V010,2024-12-20,2025-01-22,EUR,88894.56,inventory
AP-DE01-202412-6100,DE01,V046,2024-12-18,2025-01-23,EUR,81919.1,opex
