month,currency,rate_to_eur
2024-01,PLN,4.301
2024-02,PLN,4.3104
2024-03,PLN,4.353
2024-04,PLN,4.3689
2024-05,PLN,4.3699
2024-06,PLN,4.3562
2024-07,PLN,4.3279
2024-08,PLN,4.3728
2024-09,PLN,4.3969
2024-10,PLN,4.3782
2024-11,PLN,4.3887
2024-12,PLN,4.4089
2025-01,PLN,4.446
2025-02,PLN,4.4299
2025-03,PLN,4.4165
2025-04,PLN,4.3924
2025-05,PLN,4.4025
2025-06,PLN,4.4409
2025-07,PLN,4.4634
2025-08,PLN,4.4352
2025-09,PLN,4.4268
2025-10,PLN,4.3933
2025-11,PLN,4.367
2025-12,PLN,4.3689
