doc_id,line_no,posting_date,account,debit,credit,currency,partner_id
NL01-2024-000001,1,2024-01-01,1000,700000.00,0.00,EUR,
NL01-2024-000001,2,2024-01-01,1300,850000.00,0.00,EUR,
NL01-2024-000001,3,2024-01-01,1500,1500000.00,0.00,EUR,
NL01-2024-000001,4,2024-01-01,3000,0.00,3050000.00,EUR,
NL01-2024-000002,1,2024-01-06,1200,6652.64,0.00,EUR,C029
NL01-2024-000002,2,2024-01-06,4000,0.00,5118.81,EUR,C029
NL01-2024-000002,3,2024-01-06,4100,0.00,1533.83,EUR,C029
NL01-2024-000003,1,2024-02-01,1000,6652.64,0.00,EUR,C029
NL01-2024-000003,2,2024-02-01,1200,0.00,6652.64,EUR,C029
NL01-2024-000004,1,2024-01-07,1200,8035.75,0.00,EUR,C030
NL01-2024-000004,2,2024-01-07,4000,0.00,6183.03,EUR,C030
NL01-2024-000004,3,2024-01-07,4100,0.00,1852.72,EUR,C030
NL01-2024-000005,1,2024-02-07,1000,8035.75,0.00,EUR,C030
NL01-2024-000005,2,2024-02-07,1200,0.00,8035.75,EUR,C030
NL01-2024-000006,1,2024-01-02,1200,14197.29,0.00,EUR,C022
NL01-2024-000006,2,2024-01-02,4000,0.00,10923.97,EUR,C022
NL01-2024-000006,3,2024-01-02,4100,0.00,3273.32,EUR,C022
NL01-2024-000007,1,2024-01-22,1000,14197.29,0.00,EUR,C022
NL01-2024-000007,2,2024-01-22,1200,0.00,14197.29,EUR,C022
NL01-2024-000008,1,2024-01-24,1200,9963.71,0.00,EUR,C001
NL01-2024-000008,2,2024-01-24,4000,0.00,7666.48,EUR,C001
NL01-2024-000008,3,2024-01-24,4100,0.00,2297.23,EUR,C001
NL01-2024-000009,1,2024-02-16,1000,9963.71,0.00,EUR,C001
NL01-2024-000009,2,2024-02-16,1200,0.00,9963.71,EUR,C001
NL01-2024-000010,1,2024-01-29,1200,3141.69,0.00,EUR,C021
NL01-2024-000010,2,2024-01-29,4000,0.00,2417.34,EUR,C021
NL01-2024-000010,3,2024-01-29,4100,0.00,724.35,EUR,C021
NL01-2024-000011,1,2024-03-14,1000,3141.69,0.00,EUR,C021
NL01-2024-000011,2,2024-03-14,1200,0.00,3141.69,EUR,C021
NL01-2024-000012,1,2024-01-02,1200,9695.23,0.00,EUR,C022
NL01-2024-000012,2,2024-01-02,4000,0.00,7459.90,EUR,C022
NL01-2024-000012,3,2024-01-02,4100,0.00,2235.33,EUR,C022
NL01-2024-000013,1,2024-01-22,1000,9695.23,0.00,EUR,C022
NL01-2024-000013,2,2024-01-22,1200,0.00,9695.23,EUR,C022
NL01-2024-000014,1,2024-01-02,1200,21852.54,0.00,EUR,C018
NL01-2024-000014,2,2024-01-02,4000,0.00,16814.22,EUR,C018
NL01-2024-000014,3,2024-01-02,4100,0.00,5038.32,EUR,C018
NL01-2024-000015,1,2024-02-04,1000,21852.54,0.00,EUR,C018
NL01-2024-000015,2,2024-02-04,1200,0.00,21852.54,EUR,C018
NL01-2024-000016,1,2024-01-08,1200,21498.61,0.00,EUR,C033
NL01-2024-000016,2,2024-01-08,4000,0.00,16541.90,EUR,C033
NL01-2024-000016,3,2024-01-08,4100,0.00,4956.71,EUR,C033
NL01-2024-000017,1,2024-02-16,1000,21498.61,0.00,EUR,C033
NL01-2024-000017,2,2024-02-16,1200,0.00,21498.61,EUR,C033
NL01-2024-000018,1,2024-01-29,1200,1374.02,0.00,EUR,C002
NL01-2024-000018,2,2024-01-29,4000,0.00,1057.23,EUR,C002
NL01-2024-000018,3,2024-01-29,4100,0.00,316.79,EUR,C002
NL01-2024-000019,1,2024-03-07,1000,1374.02,0.00,EUR,C002
NL01-2024-000019,2,2024-03-07,1200,0.00,1374.02,EUR,C002
NL01-2024-000020,1,2024-01-28,1200,4825.48,0.00,EUR,C023
NL01-2024-000020,2,2024-01-28,4000,0.00,3712.92,EUR,C023
NL01-2024-000020,3,2024-01-28,4100,0.00,1112.56,EUR,C023
NL01-2024-000021,1,2024-02-19,1000,4825.48,0.00,EUR,C023
NL01-2024-000021,2,2024-02-19,1200,0.00,4825.48,EUR,C023
NL01-2024-000022,1,2024-01-31,1200,3683.45,0.00,EUR,C033
NL01-2024-000022,2,2024-01-31,4000,0.00,2834.19,EUR,C033
NL01-2024-000022,3,2024-01-31,4100,0.00,849.26,EUR,C033
NL01-2024-000023,1,2024-02-16,1000,3683.45,0.00,EUR,C033
NL01-2024-000023,2,2024-02-16,1200,0.00,3683.45,EUR,C033
NL01-2024-000024,1,2024-01-29,1200,16251.63,0.00,EUR,C002
NL01-2024-000024,2,2024-01-29,4000,0.00,12504.66,EUR,C002
NL01-2024-000024,3,2024-01-29,4100,0.00,3746.97,EUR,C002
NL01-2024-000025,1,2024-02-29,1000,16251.63,0.00,EUR,C002
NL01-2024-000025,2,2024-02-29,1200,0.00,16251.63,EUR,C002
NL01-2024-000026,1,2024-01-31,1200,8526.06,0.00,EUR,C039
NL01-2024-000026,2,2024-01-31,4000,0.00,6560.29,EUR,C039
NL01-2024-000026,3,2024-01-31,4100,0.00,1965.77,EUR,C039
NL01-2024-000027,1,2024-02-24,1000,8526.06,0.00,EUR,C039
NL01-2024-000027,2,2024-02-24,1200,0.00,8526.06,EUR,C039
NL01-2024-000028,1,2024-01-20,1200,2858.03,0.00,EUR,C039
NL01-2024-000028,2,2024-01-20,4000,0.00,2199.08,EUR,C039
NL01-2024-000028,3,2024-01-20,4100,0.00,658.95,EUR,C039
NL01-2024-000029,1,2024-03-16,1000,2858.03,0.00,EUR,C039
NL01-2024-000029,2,2024-03-16,1200,0.00,2858.03,EUR,C039
