doc_id,line_no,posting_date,account,debit,credit,currency,partner_id
PL01-2024-000001,1,2024-01-01,1000 ,2400000.00,0.00,PLN,
PL01-2024-000001,2,2024-01-01,1300 ,2900000.00,0.00,PLN,
PL01-2024-000001,3,2024-01-01,1500 ,4100000.00,0.00,PLN,
PL01-2024-000001,4,2024-01-01,3000 ,0.00,9400000.00,PLN,
PL01-2024-000002,1,2024-01-27,1200 ,31913.66,0.00,PLN,C011
PL01-2024-000002,2,2024-01-27,4000 ,0.00,27899.50,PLN,C011
PL01-2024-000002,3,2024-01-27,4100 ,0.00,4014.16,PLN,C011
PL01-2024-000003,1,2024-03-04,1000 ,31913.66,0.00,PLN,C011
PL01-2024-000003,2,2024-03-04,1200 ,0.00,31913.66,PLN,C011
PL01-2024-000004,1,2024-01-01,1200 ,26052.02,0.00,PLN,C037
PL01-2024-000004,2,2024-01-01,4000 ,0.00,22775.15,PLN,C037
PL01-2024-000004,3,2024-01-01,4100 ,0.00,3276.87,PLN,C037
PL01-2024-000005,1,2024-02-25,1000 ,26052.02,0.00,PLN,C037
PL01-2024-000005,2,2024-02-25,1200 ,0.00,26052.02,PLN,C037
PL01-2024-000006,1,2024-01-15,1200 ,34085.83,0.00,PLN,C040
PL01-2024-000006,2,2024-01-15,4000 ,0.00,29798.45,PLN,C040
PL01-2024-000006,3,2024-01-15,4100 ,0.00,4287.38,PLN,C040
PL01-2024-000007,1,2024-03-05,1000 ,34085.83,0.00,PLN,C040
PL01-2024-000007,2,2024-03-05,1200 ,0.00,34085.83,PLN,C040
PL01-2024-000008,1,2024-01-10,1200 ,8280.86,0.00,PLN,C018
PL01-2024-000008,2,2024-01-10,4000 ,0.00,7239.28,PLN,C018
PL01-2024-000008,3,2024-01-10,4100 ,0.00,1041.58,PLN,C018
PL01-2024-000009,1,2024-02-07,1000 ,8280.86,0.00,PLN,C018
PL01-2024-000009,2,2024-02-07,1200 ,0.00,8280.86,PLN,C018
PL01-2024-000010,1,2024-01-26,1200 ,65439.66,0.00,PLN,C018
PL01-2024-000010,2,2024-01-26,4000 ,0.00,57208.53,PLN,C018
PL01-2024-000010,3,2024-01-26,4100 ,0.00,8231.13,PLN,C018
PL01-2024-000011,1,2024-03-29,1000 ,65439.66,0.00,PLN,C018
PL01-2024-000011,2,2024-03-29,1200 ,0.00,65439.66,PLN,C018
PL01-2024-000012,1,2024-01-29,1200 ,10620.66,0.00,PLN,C008
PL01-2024-000012,2,2024-01-29,4000 ,0.00,9284.77,PLN,C008
PL01-2024-000012,3,2024-01-29,4100 ,0.00,1335.89,PLN,C008
PL01-2024-000013,1,2024-03-26,1000 ,10620.66,0.00,PLN,C008
PL01-2024-000013,2,2024-03-26,1200 ,0.00,10620.66,PLN,C008
PL01-2024-000014,1,2024-01-12,1200 ,7567.64,0.00,PLN,C003
PL01-2024-000014,2,2024-01-12,4000 ,0.00,6615.77,PLN,C003
PL01-2024-000014,3,2024-01-12,4100 ,0.00,951.87,PLN,C003
PL01-2024-000015,1,2024-02-03,1000 ,7567.64,0.00,PLN,C003
PL01-2024-000015,2,2024-02-03,1200 ,0.00,7567.64,PLN,C003
PL01-2024-000016,1,2024-01-18,1200 ,34562.01,0.00,PLN,C034
PL01-2024-000016,2,2024-01-18,4000 ,0.00,30214.73,PLN,C034
PL01-2024-000016,3,2024-01-18,4100 ,0.00,4347.28,PLN,C034
PL01-2024-000017,1,2024-03-21,1000 ,34562.01,0.00,PLN,C034
PL01-2024-000017,2,2024-03-21,1200 ,0.00,34562.01,PLN,C034
PL01-2024-000018,1,2024-01-23,1200 ,18014.22,0.00,PLN,C015
PL01-2024-000018,2,2024-01-23,4000 ,0.00,15748.36,PLN,C015
PL01-2024-000018,3,2024-01-23,4100 ,0.00,2265.86,PLN,C015
PL01-2024-000019,1,2024-03-06,1000 ,18014.22,0.00,PLN,C015
PL01-2024-000019,2,2024-03-06,1200 ,0.00,18014.22,PLN,C015
PL01-2024-000020,1,2024-01-10,1200 ,31475.39,0.00,PLN,C036
PL01-2024-000020,2,2024-01-10,4000 ,0.00,27516.35,PLN,C036
PL01-2024-000020,3,2024-01-10,4100 ,0.00,3959.04,PLN,C036
PL01-2024-000021,1,2024-02-22,1000 ,31475.39,0.00,PLN,C036
PL01-2024-000021,2,2024-02-22,1200 ,0.00,31475.39,PLN,C036
PL01-2024-000022,1,2024-01-22,1200 ,14597.13,0.00,PLN,C001
PL01-2024-000022,2,2024-01-22,4000 ,0.00,12761.07,PLN,C001
PL01-2024-000022,3,2024-01-22,4100 ,0.00,1836.06,PLN,C001
PL01-2024-000023,1,2024-03-08,1000 ,14597.13,0.00,PLN,C001
PL01-2024-000023,2,2024-03-08,1200 ,0.00,14597.13,PLN,C001
PL01-2024-000024,1,2024-01-07,1200 ,10661.10,0.00,PLN,C021
PL01-2024-000024,2,2024-01-07,4000 ,0.00,9320.13,PLN,C021
PL01-2024-000024,3,2024-01-07,4100 ,0.00,1340.97,PLN,C021
PL01-2024-000025,1,2024-02-12,1000 ,10661.10,0.00,PLN,C021
PL01-2024-000025,2,2024-02-12,1200 ,0.00,10661.10,PLN,C021
PL01-2024-000026,1,2024-01-10,1200 ,8924.10,0.00,PLN,C038
PL01-2024-000026,2,2024-01-10,4000 ,0.00,7801.61,PLN,C038
PL01-2024-000026,3,2024-01-10,4100 ,0.00,1122.49,PLN,C038
PL01-2024-000027,1,2024-02-01,1000 ,8924.10,0.00,PLN,C038
PL01-2024-000027,2,2024-02-01,1200 ,0.00,8924.10,PLN,C038
PL01-2024-000028,1,2024-01-15,1200 ,79782.12,0.00,PLN,C025
PL01-2024-000028,2,2024-01-15,4000 ,0.00,69746.97,PLN,C025
PL01-2024-000028,3,2024-01-15,4100 ,0.00,10035.15,PLN,C025
PL01-2024-000029,1,2024-02-25,1000 ,79782.12,0.00,PLN,C025
PL01-2024-000029,2,2024-02-25,1200 ,0.00,79782.12,PLN,C025
PL01-2024-000030,1,2024-01-25,1200 ,4181.16,0.00,PLN,C027
PL01-2024-000030,2,2024-01-25,4000 ,0.00,3655.25,PLN,C027
PL01-2024-000030,3,2024-01-25,4100 ,0.00,525.91,PLN,C027
PL01-2024-000031,1,2024-02-27,1000 ,4181.16,0.00,PLN,C027
PL01-2024-000031,2,2024-02-27,1200 ,0.00,4181.16,PLN,C027
PL01-2024-000032,1,2024-01-21,1200 ,6192.68,0.00,PLN,C017
PL01-2024-000032,2,2024-01-21,4000 ,0.00,5413.75,PLN,C017
PL01-2024-000032,3,2024-01-21,4100 ,0.00,778.93,PLN,C017
PL01-2024-000033,1,2024-03-01,1000 ,6192.68,0.00,PLN,C017
PL01-2024-000033,2,2024-03-01,1200 ,0.00,6192.68,PLN,C017
PL01-2024-000034,1,2024-01-12,1200 ,45744.55,0.00,PLN,C024
PL01-2024-000034,2,2024-01-12,4000 ,0.00,39990.71,PLN,C024
PL01-2024-000034,3,2024-01-12,4100 ,0.00,5753.84,PLN,C024
PL01-2024-000035,1,2024-03-04,1000 ,45744.55,0.00,PLN,C024
PL01-2024-000035,2,2024-03-04,1200 ,0.00,45744.55,PLN,C024
PL01-2024-000036,1,2024-01-17,1200 ,8152.82,0.00,PLN,C021
PL01-2024-000036,2,2024-01-17,4000 ,0.00,7127.34,PLN,C021
PL01-2024-000036,3,2024-01-17,4100 ,0.00,1025.48,PLN,C021
PL01-2024-000037,1,2024-05-06,1000 ,8152.82,0.00,PLN,C021
PL01-2024-000037,2,2024-05-06,1200 ,0.00,8152.82,PLN,C021
PL01-2024-000038,1,2024-01-21,1200 ,28823.03,0.00,PLN,C009
PL01-2024-000038,2,2024-01-21,4000 ,0.00,25197.61,PLN,C009
PL01-2024-000038,3,2024-01-21,4100 ,0.00,3625.42,PLN,C009
PL01-2024-000039,1,2024-03-16,1000 ,28823.03,0.00,PLN,C009
