entity,month,currency,closing_value
DE01,2024-01,EUR,1456047.49
DE01,2024-02,EUR,1441438.75
DE01,2024-03,EUR,1516083.64
DE01,2024-04,EUR,1599677.36
DE01,2024-05,EUR,1582175.11
DE01,2024-06,EUR,1604187.75
DE01,2024-07,EUR,1567774.36
DE01,2024-08,EUR,1568513.73
DE01,2024-09,EUR,1584078.25
DE01,2024-10,EUR,1550100.97
DE01,2024-11,EUR,1647903.53
DE01,2024-12,EUR,1744989.58
DE01,2025-01,EUR,1730459.61
DE01,2025-02,EUR,1808407.04
DE01,2025-03,EUR,1822342.94
DE01,2025-04,EUR,1909653.7
DE01,2025-05,EUR,1935561.42
DE01,2025-06,EUR,1974056.6
DE01,2025-07,EUR,2057112.92
DE01,2025-08,EUR,2063498.09
DE01,2025-09,EUR,2043858.68
DE01,2025-10,EUR,2149642.84
DE01,2025-11,EUR,2122230.85
DE01,2025-12,EUR,2181841.55
NL01,2024-01,EUR,854579.03
NL01,2024-02,EUR,835018.05
NL01,2024-03,EUR,881567.18
NL01,2024-04,EUR,925098.78
NL01,2024-05,EUR,963360.66
NL01,2024-06,EUR,958683.99
NL01,2024-07,EUR,997453.82
NL01,2024-08,EUR,998256.41
NL01,2024-09,EUR,1042831.35
NL01,2024-10,EUR,1102841.16
NL01,2024-11,EUR,1166981.75
NL01,2024-12,EUR,1220457.62
NL01,2025-01,EUR,1234614.75
NL01,2025-02,EUR,1261083.8
NL01,2025-03,EUR,1291292.13
NL01,2025-04,EUR,1303099.85
NL01,2025-05,EUR,1276998.65
NL01,2025-06,EUR,1285263.44
NL01,2025-07,EUR,1283753.52
NL01,2025-08,EUR,1346528.74
NL01,2025-09,EUR,1406311.67
NL01,2025-10,EUR,1438965.99
NL01,2025-11,EUR,1475645.88
NL01,2025-12,EUR,1465887.85
PL01,2024-01,PLN,2962442.97
PL01,2024-02,PLN,2933039.2
PL01,2024-03,PLN,2942470.18
PL01,2024-04,PLN,3052915.41
PL01,2024-05,PLN,3152337.06
PL01,2024-06,PLN,3174638.54
PL01,2024-07,PLN,3162386.28
PL01,2024-08,PLN,3132703.18
PL01,2024-09,PLN,3153046.9
PL01,2024-10,PLN,3172519.28
PL01,2024-11,PLN,3166698.56
PL01,2024-12,PLN,3141727.75
PL01,2025-01,PLN,3123237.05
PL01,2025-02,PLN,3137523.96
PL01,2025-03,PLN,3274742.8
PL01,2025-04,PLN,3405336.9
PL01,2025-05,PLN,3358942.05
PL01,2025-06,PLN,3350075.62
PL01,2025-07,PLN,3471293.6
PL01,2025-08,PLN,3428406.68
PL01,2025-09,PLN,3401173.61
PL01,2025-10,PLN,3484360.79
PL01,2025-11,PLN,3421364.41
PL01,2025-12,PLN,3573933.58
